ISSY-LES-MOULINEAUX;France;2,2734713;48,8244968;WARSZAWA;Poland;21,0067265;52,2319237;37370
BERGEN;Norway;4,70804;52,66765;MOSKVA;Russian Federation;24,6859225;45,9852129;37500
BERGEN;Norway;4,70804;52,66765;MOSKVA;Russian Federation;37,4062709;55,5805786;37500
BERGEN;Norway;5,37306653;60,3568769;MOSKVA;Russian Federation;24,6859225;45,9852129;37500
BERGEN;Norway;5,37306653;60,3568769;MOSKVA;Russian Federation;37,4062709;55,5805786;37500
TOULOUSE;France;1,4442469;43,6044622;MAPUTO;Mozambique;32,5742102;-25,9511456;37514
TOULOUSE;France;1,4442469;43,6044622;Accra;Ghana;-0,2057437;5,5600141;37974
FREIBURG;Germany;7,1606881;46,8052805;SKOPJE;Former Yugoslav Republic of Macedonia;21,4317955;41,9962268;37985
FREIBURG;Germany;7,8494005;47,9960901;SKOPJE;Former Yugoslav Republic of Macedonia;21,4317955;41,9962268;37985
TOULOUSE;France;1,4442469;43,6044622;BRAZZAVILLE;Congo;15,2830583;-4,2670448;38048
TOULOUSE;France;1,4442469;43,6044622;DAKAR;Senegal;-17,447026;14,6930042;38048
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;ESPOO;Finland;24,6569676;60,2051454;38104
TOULOUSE;France;1,4442469;43,6044622;Munich;Germany;11,5754815;48,1372719;38263
ENSCHEDE;Netherlands;6,8936189;52,2179694;Muizenberg;South Africa;18,4652778;-34,1027778;38600
TOULOUSE;France;1,4442469;43,6044622;Abidjan;Cote d'Ivoire;-4,0270019;5,3360038;38678
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;HANNOVER;Germany;9,7385532;52,3744779;38866
NOVI SAD;Serbia;19,845081;45,2551053;GENT;Belgium;3,7239194;51,0558119;38966
ALRESFORD;United Kingdom;0,9995868;51,8551523;BAIERBRUNN;Germany;11,4865462;48,0204773;39502
NOVI SAD;Serbia;19,845081;45,2551053;BUCHAREST;Romania;26,1027436;44,436139;39644
Potenza;Italy;15,808567;40,644317;Potenza;Italy;15,808567;40,644317;39821
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;COPENHAGEN;Denmark;12,5700724;55,6867243;40106
ISSY-LES-MOULINEAUX;France;2,2734713;48,8244968;RIGA;Latvia;24,1051846;56,9493977;40579
THESSALONIKI;Greece;22,9352716;40,6403167;SARAJEVO;Bosnia and Herzegovina;18,3886134;43,8514981;40630
THESSALONIKI;Greece;22,9352716;40,6403167;SOFIA;Bulgaria;23,3144912;42,6932683;40630
SOPRON;Hungary;16,5986622;47,6803589;SOFIA;Bulgaria;23,3144912;42,6932683;41400
ISSY-LES-MOULINEAUX;France;2,2734713;48,8244968;CONSTANTA;Romania;28,61985896;44,17191615;41639
GENEVE 4;Switzerland;6,629702909;46,5216537;ANKARA;Turkey;32,8520044;39,9272459;41760
FREIBURG;Germany;7,1606881;46,8052805;KYIV;Ukraine;30,5234937;50,4499875;42265
FREIBURG;Germany;7,8494005;47,9960901;KYIV;Ukraine;30,5234937;50,4499875;42265
MOL;Belgium;5,1156157;51,1841061;SWINDON WILTSHIRE;United Kingdom;-1,7854949;51,5615549;42500
ESPOO;Finland;24,6569676;60,2051454;BOGOTA DC;Colombia;-74,0760867;4,5980478;42800
SALZBURG;Austria;13,0410592;47,8001977;MUENCHEN;Germany;11,5754815;48,1372719;43111
ISSY-LES-MOULINEAUX;France;2,2734713;48,8244968;HAIFA;Israel;34,9983856;32,8191218;43337
MUENCHEN;Germany;11,5754815;48,1372719;ANGERS;France;-0,5517522;47,4711708;43348
